Tue, 2024.04.16 0:00, 0:00, USD, yel, Business Inventories m/m,  0.0% , 0.3%, 0.4%
Wed, 2024.04.17 16:00, 16:00, GBP, yel, PPI Input m/m,  0.3% , 0.1%, -0.1%
Wed, 2024.04.17 16:00, 16:00, GBP, yel, PPI Output m/m,  0.3% , 0.2%, 0.2%
Wed, 2024.04.17 16:00, 16:00, GBP, yel, RPI y/y,  4.5% , 4.2%, 4.3%
Wed, 2024.04.17 18:30, 18:30, GBP, yel, HPI y/y,  -1.3% , 0.2%, -0.2%
Wed, 2024.04.17 19:00, 19:00, EUR, yel, Final Core CPI y/y,  2.9% , 2.9%, 2.9%
Wed, 2024.04.17 19:00, 19:00, EUR, yel, Final CPI y/y,  2.4% , 2.4%, 2.4%
Wed, 2024.04.17 19:37, 19:37, EUR, yel, German 30-y Bond Auction,  2.52|3.4 , , 2.62|3.2
Wed, 2024.04.17 21:00, 21:00, GBP, yel, BOE Quarterly Bulletin,   , , 
Wed, 2024.04.17 22:05, 22:05, GBP, yel, MPC Member Greene Speaks,   , , 
Wed, 2024.04.17 22:30, 22:30, CAD, yel, Foreign Securities Purchases,  8.88B , 10.10B, -8.78B
Thu, , , , yel, IMF Meetings,   , , 
Thu, 2024.04.18 0:30, 0:30, USD, yel, Crude Oil Inventories,  5.8M , 1.6M, 2.7M
Thu, 2024.04.18 2:00, 2:00, GBP, red, BOE Gov Bailey Speaks,   , , 
Thu, 2024.04.18 4:00, 4:00, EUR, ora, ECB President Lagarde Speaks,   , , 
Thu, 2024.04.18 4:00, 4:00, GBP, yel, MPC Member Haskel Speaks,   , , 
Thu, 2024.04.18 4:00, 4:00, USD, yel, Beige Book,   , , 
Thu, 2024.04.18 6:00, 6:00, USD, yel, TIC Long-Term Purchases,  14.0B , 40.2B, 71.5B
Thu, 2024.04.18 7:30, 7:30, USD, ora, FOMC Member Mester Speaks,   , , 
Thu, 2024.04.18 8:30, 8:30, USD, yel, FOMC Member Bowman Speaks,   , , 
Thu, 2024.04.18 11:30, 11:30, AUD, red, Employment Change,  117.6K , 7.2K, -6.6K
Thu, 2024.04.18 11:30, 11:30, AUD, red, Unemployment Rate,  3.7% , 3.9%, 3.8%
Thu, 2024.04.18 11:30, 11:30, AUD, yel, NAB Quarterly Business Confidence,  -6 , , -2
Thu, 2024.04.18 11:30, 11:30, AUD, yel, RBA Bulletin,   , , 
Thu, 2024.04.18 14:30, 14:30, JPY, yel, Tertiary Industry Activity m/m,  -0.5% , 0.4%, 1.5%
Thu, 2024.04.18 16:00, 16:00, CHF, yel, Trade Balance,  3.68B , 3.22B, 3.54B
Thu, 2024.04.18 18:00, 18:00, EUR, yel, Current Account,  39.3B , 45.2B, 29.5B
Thu, 2024.04.18 18:45, 18:45, EUR, yel, Spanish 10-y Bond Auction,  3.19|1.8 , , 3.25|1.8
Thu, 2024.04.18 20:00, 20:00, EUR, yel, German Buba Monthly Report,   , , 
Thu, 2024.04.18 22:00, 22:00, EUR, yel, German Buba President Nagel Speaks,   , , 
Thu, 2024.04.18 22:30, 22:30, USD, red, Unemployment Claims,  212K , 215K, 212K
Thu, 2024.04.18 22:30, 22:30, USD, ora, Philly Fed Manufacturing Index,  3.2 , 1.5, 15.5
Thu, 2024.04.18 23:05, 23:05, USD, yel, FOMC Member Bowman Speaks,   , , 
Thu, 2024.04.18 23:15, 23:15, USD, yel, FOMC Member Bowman Speaks,   , , 
Thu, 2024.04.18 23:15, 23:15, USD, yel, FOMC Member Williams Speaks,   , , 
Fri, 2024.04.19 0:00, 0:00, USD, ora, Existing Home Sales,  4.38M , 4.20M, 4.19M
Fri, 2024.04.19 0:00, 0:00, USD, yel, CB Leading Index m/m,  0.2% , -0.1%, -0.3%
Fri, 2024.04.19 0:00, 0:00, USD, yel, IMF Meetings,   , , 
Fri, 2024.04.19 0:30, 0:30, USD, yel, Natural Gas Storage,  24B , 54B, 50B
Fri, 2024.04.19 1:00, 1:00, USD, yel, FOMC Member Bostic Speaks,   , , 
Fri, 2024.04.19 2:00, 2:00, CHF, yel, Gov Board Member Martin Speaks,   , , 
Fri, 2024.04.19 7:45, 7:45, USD, yel, FOMC Member Bostic Speaks,   , , 
Fri, 2024.04.19 9:30, 9:30, JPY, yel, National Core CPI y/y,  2.8% , 2.7%, 2.6%
Fri, 2024.04.19 16:00, 16:00, EUR, yel, German PPI m/m,  -0.4% , 0.0%, 0.2%
Fri, 2024.04.19 16:00, 16:00, GBP, red, Retail Sales m/m,  0.1% , 0.3%, 0.0%
Fri, 2024.04.19 19:10, 19:10, CNY, yel, Foreign Direct Investment ytd/y,  -19.9% , , -26.1%
Mon, 2024.04.22 9:01, 9:01, GBP, yel, Rightmove HPI m/m,  1.5% , , 1.1%
Mon, 2024.04.22 11:15, 11:15, CNY, ora, 1-y Loan Prime Rate,  3.45% , 3.45%, 3.45%
Mon, 2024.04.22 11:15, 11:15, CNY, ora, 5-y Loan Prime Rate,  3.95% , 3.95%, 3.95%
Mon, 2024.04.22 13:00, 13:00, NZD, yel, Credit Card Spending y/y,  2.2% , , 
Mon, 2024.04.22 20:00, 20:00, GBP, yel, CBI Industrial Order Expectations,  -18 , -15, 
Mon, 2024.04.22 22:30, 22:30, CAD, yel, IPPI m/m,  0.7% , 0.8%, 
Mon, 2024.04.22 22:30, 22:30, CAD, yel, NHPI m/m,  0.1% , 0.1%, 
Mon, 2024.04.22 22:30, 22:30, CAD, yel, RMPI m/m,  2.1% , 2.9%, 
